Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,1.070000,1.540000,0.860000,1.150000,1.150000,3008000
2020-03-31,1.150000,1.150000,0.860000,0.940000,0.940000,547500
2020-04-01,0.900000,0.900000,0.700000,0.750000,0.750000,247700
2020-04-02,0.788000,0.825000,0.714000,0.721000,0.721000,103900
2020-04-03,0.700000,0.716000,0.510000,0.649000,0.649000,155300
2020-04-06,0.989000,0.989000,0.700000,0.710000,0.710000,161200
2020-04-07,0.820000,0.868000,0.747000,0.825000,0.825000,203200
2020-04-08,0.780000,0.890000,0.745000,0.840000,0.840000,196100
2020-04-09,0.890000,1.370000,0.840000,1.080000,1.080000,1943000
2020-04-13,1.030000,1.050000,0.880000,0.946000,0.946000,1286300
2020-04-14,0.990000,1.220000,0.989000,1.140000,1.140000,695200
2020-04-15,1.190000,1.660000,1.140000,1.490000,1.490000,1946700
2020-04-16,1.560000,1.600000,1.260000,1.340000,1.340000,1007800
2020-04-17,1.290000,1.350000,1.210000,1.280000,1.280000,454800
2020-04-20,1.300000,1.320000,1.180000,1.240000,1.240000,723000
2020-04-21,1.220000,1.230000,1.030000,1.030000,1.030000,759300
2020-04-22,0.800000,0.880000,0.650000,0.700000,0.700000,5608500
2020-04-23,0.760000,0.770000,0.736000,0.757000,0.757000,1974500
2020-04-24,0.770000,0.770000,0.711000,0.740000,0.740000,1605300
2020-04-27,0.770000,0.780000,0.741000,0.774000,0.774000,1806700
2020-04-28,0.785000,0.785000,0.743000,0.754000,0.754000,889200
2020-04-29,0.760000,0.770000,0.733000,0.760000,0.760000,993200
2020-04-30,0.753000,0.990000,0.734000,0.813000,0.813000,10934700
2020-05-01,0.880000,0.880000,0.725000,0.768000,0.768000,2413100
2020-05-04,0.790000,0.820000,0.740000,0.760000,0.760000,996500
2020-05-05,0.761000,0.790000,0.721000,0.747000,0.747000,833400
2020-05-06,0.740000,0.740000,0.705000,0.730000,0.730000,578900
2020-05-07,0.760000,0.835000,0.740000,0.783000,0.783000,1853700
2020-05-08,0.790000,1.020000,0.790000,0.904000,0.904000,3992100
2020-05-11,0.891000,1.070000,0.820000,0.981000,0.981000,2353700
2020-05-12,0.965000,0.970000,0.840000,0.869000,0.869000,1258600
2020-05-13,0.890000,0.890000,0.740000,0.839000,0.839000,836000
2020-05-14,0.765000,0.780000,0.705000,0.780000,0.780000,949700
2020-05-15,0.780000,0.824000,0.730000,0.800000,0.800000,457600
2020-05-18,0.790000,0.790000,0.757000,0.770000,0.770000,660600
2020-05-19,1.240000,3.970000,1.140000,3.400000,3.400000,331855200
2020-05-20,3.210000,4.889000,2.810000,2.960000,2.960000,147139200
2020-05-21,2.750000,3.460000,2.340000,3.090000,3.090000,64271200
2020-05-22,2.990000,3.350000,2.810000,3.030000,3.030000,16739400
2020-05-26,3.050000,3.110000,2.710000,2.850000,2.850000,12737400
2020-05-27,2.760000,2.800000,2.510000,2.590000,2.590000,8773400
2020-05-28,2.620000,2.870000,2.510000,2.670000,2.670000,7313000
2020-05-29,2.650000,2.700000,2.510000,2.590000,2.590000,5106100
2020-06-01,2.540000,2.610000,2.400000,2.480000,2.480000,5259700
2020-06-02,2.390000,3.310000,2.300000,3.080000,3.080000,31082500
2020-06-03,2.900000,2.990000,2.650000,2.750000,2.750000,9837900
2020-06-04,2.600000,2.890000,2.480000,2.630000,2.630000,7699900
2020-06-05,2.560000,2.750000,2.530000,2.610000,2.610000,4220800
2020-06-08,2.720000,2.840000,2.600000,2.620000,2.620000,5932900
2020-06-09,2.620000,2.700000,2.520000,2.600000,2.600000,3413000
2020-06-10,2.640000,2.640000,2.510000,2.530000,2.530000,4550300
2020-06-11,2.400000,2.500000,2.280000,2.360000,2.360000,3767200
2020-06-12,2.420000,2.450000,2.270000,2.310000,2.310000,2522900
2020-06-15,2.250000,2.460000,2.160000,2.360000,2.360000,3294400
2020-06-16,2.440000,2.450000,2.280000,2.420000,2.420000,2981800
2020-06-17,2.280000,2.305000,2.210000,2.250000,2.250000,3523200
2020-06-18,2.190000,2.290000,2.100000,2.190000,2.190000,2677500
2020-06-19,2.230000,2.430000,2.160000,2.310000,2.310000,4345300
2020-06-22,2.270000,2.330000,2.210000,2.240000,2.240000,2049400
2020-06-23,2.510000,2.570000,2.260000,2.310000,2.310000,6483000
2020-06-24,2.290000,2.310000,2.110000,2.250000,2.250000,3114600
2020-06-25,2.210000,2.290000,2.160000,2.200000,2.200000,1934200
2020-06-26,2.190000,2.190000,2.080000,2.100000,2.100000,2421100
2020-06-29,2.110000,2.200000,2.050000,2.120000,2.120000,1501100
2020-06-30,2.130000,2.230000,2.070000,2.200000,2.200000,1420500
2020-07-01,2.250000,2.250000,2.090000,2.120000,2.120000,1543800
2020-07-02,2.130000,2.170000,2.090000,2.120000,2.120000,1116900
2020-07-06,2.150000,2.180000,2.080000,2.150000,2.150000,1881000
2020-07-07,2.100000,2.140000,2.010000,2.030000,2.030000,2212700
2020-07-08,2.050000,2.050000,1.900000,1.940000,1.940000,2627700
2020-07-09,1.950000,1.960000,1.750000,1.880000,1.880000,3034000
2020-07-10,1.960000,2.050000,1.890000,1.930000,1.930000,1757400
2020-07-13,1.920000,1.920000,1.827000,1.830000,1.830000,1699900
2020-07-14,1.800000,1.825000,1.630000,1.710000,1.710000,2081800
2020-07-15,1.750000,1.870000,1.710000,1.820000,1.820000,1466300
2020-07-16,1.820000,1.990000,1.735000,1.990000,1.990000,1378700
2020-07-17,2.040000,2.430000,2.030000,2.150000,2.150000,7678200
2020-07-20,2.280000,2.295000,2.150000,2.230000,2.230000,2531500
2020-07-21,2.240000,2.265000,2.120000,2.220000,2.220000,1371400
2020-07-22,2.220000,2.420000,2.150000,2.400000,2.400000,2942500
2020-07-23,2.430000,2.500000,2.210000,2.260000,2.260000,2456400
2020-07-24,2.290000,2.480000,2.130000,2.400000,2.400000,3412000
2020-07-27,2.440000,2.480000,2.230000,2.270000,2.270000,1873100
2020-07-28,2.290000,2.300000,2.170000,2.230000,2.230000,987000
2020-07-29,2.230000,2.320000,2.200000,2.290000,2.290000,1139100
2020-07-30,2.270000,2.370000,2.250000,2.350000,2.350000,1189800
2020-07-31,2.350000,2.350000,2.250000,2.290000,2.290000,807700
2020-08-03,2.290000,2.400000,2.290000,2.350000,2.350000,1274300
2020-08-04,2.390000,2.800000,2.360000,2.560000,2.560000,5765500
2020-08-05,2.650000,2.730000,2.350000,2.460000,2.460000,3435900
2020-08-06,2.350000,2.361000,2.010000,2.230000,2.230000,2530800
2020-08-07,2.200000,2.330000,2.180000,2.180000,2.180000,1333700
2020-08-10,2.190000,2.255000,2.150000,2.160000,2.160000,1069900
2020-08-11,2.160000,2.197000,1.960000,2.000000,2.000000,1898600
2020-08-12,2.020000,2.100000,2.000000,2.050000,2.050000,944400
2020-08-13,1.900000,2.020000,1.860000,1.910000,1.910000,1965200
2020-08-14,1.940000,2.090000,1.920000,1.970000,1.970000,891300
2020-08-17,1.980000,1.990000,1.860000,1.890000,1.890000,1147100
2020-08-18,1.900000,1.990000,1.800000,1.830000,1.830000,1095300
2020-08-19,1.820000,1.850000,1.770000,1.820000,1.820000,1012300
2020-08-20,1.810000,1.810000,1.730000,1.780000,1.780000,917300
2020-08-21,1.780000,1.780000,1.710000,1.760000,1.760000,790800
2020-08-24,1.780000,1.785000,1.700000,1.720000,1.720000,693200
2020-08-25,1.720000,1.740000,1.650000,1.700000,1.700000,972100
2020-08-26,1.660000,1.750000,1.660000,1.720000,1.720000,521900
2020-08-27,1.740000,1.740000,1.660000,1.680000,1.680000,550900
2020-08-28,1.720000,1.790000,1.650000,1.690000,1.690000,1608000
2020-08-31,1.700000,1.750000,1.610000,1.650000,1.650000,843900
2020-09-01,1.640000,1.640000,1.550000,1.590000,1.590000,860600
2020-09-02,1.590000,1.600000,1.530000,1.590000,1.590000,632900
2020-09-03,1.590000,1.600000,1.440000,1.450000,1.450000,1315100
2020-09-04,1.430000,1.460000,1.310000,1.380000,1.380000,1366300
2020-09-08,1.400000,1.490000,1.320000,1.410000,1.410000,916200
2020-09-09,1.410000,1.470000,1.380000,1.410000,1.410000,495800
2020-09-10,1.500000,1.830000,1.500000,1.540000,1.540000,6226900
2020-09-11,1.570000,1.590000,1.470000,1.520000,1.520000,1021900
2020-09-14,1.540000,1.680000,1.533000,1.670000,1.670000,1234300
2020-09-15,1.700000,1.720000,1.560000,1.600000,1.600000,880000
2020-09-16,1.560000,1.630000,1.500000,1.520000,1.520000,907800
2020-09-17,1.460000,1.620000,1.460000,1.540000,1.540000,785500
2020-09-18,1.560000,1.600000,1.530000,1.580000,1.580000,620000
2020-09-21,1.590000,1.590000,1.470000,1.530000,1.530000,736600
2020-09-22,1.540000,1.540000,1.470000,1.510000,1.510000,544100
2020-09-23,1.490000,1.510000,1.380000,1.430000,1.430000,769700
2020-09-24,1.880000,1.900000,1.440000,1.780000,1.780000,18249000
2020-09-25,1.540000,1.630000,1.500000,1.550000,1.550000,2437100
2020-09-28,1.580000,1.620000,1.500000,1.580000,1.580000,1268000
2020-09-29,1.750000,2.230000,1.650000,2.130000,2.130000,13465200
2020-09-30,2.600000,3.280000,2.360000,2.860000,2.860000,118027400
2020-10-01,2.395000,2.470000,2.140000,2.400000,2.400000,19218100
2020-10-02,2.170000,2.630000,2.170000,2.360000,2.360000,11613700
2020-10-05,2.400000,2.470000,2.270000,2.350000,2.350000,5465500
2020-10-06,2.300000,2.320000,2.150000,2.210000,2.210000,6529100
2020-10-07,2.220000,2.500000,2.190000,2.360000,2.360000,8495100
2020-10-08,2.440000,2.460000,2.270000,2.390000,2.390000,3675700
2020-10-09,2.390000,2.630000,2.330000,2.620000,2.620000,8685200
2020-10-12,2.730000,3.130000,2.680000,3.060000,3.060000,22229500
2020-10-13,3.060000,3.399000,2.850000,2.990000,2.990000,19389100
2020-10-14,3.020000,3.900000,3.020000,3.650000,3.650000,25856500
2020-10-15,3.520000,4.480000,3.380000,4.480000,4.480000,32981400
2020-10-16,4.600000,6.000000,4.590000,4.910000,4.910000,106026000
2020-10-19,5.150000,5.310000,4.261000,4.380000,4.380000,28027700
2020-10-20,4.020000,4.350000,3.400000,3.740000,3.740000,23672100
2020-10-21,3.600000,4.100000,3.550000,3.780000,3.780000,11026200
2020-10-22,3.900000,4.205000,3.650000,4.140000,4.140000,8755800
2020-10-23,4.220000,4.380000,3.910000,3.980000,3.980000,7327200
2020-10-26,3.170000,3.510000,3.000000,3.130000,3.130000,19055700
2020-10-27,3.310000,3.360000,3.150000,3.250000,3.250000,6895500
2020-10-28,3.100000,3.150000,2.820000,3.030000,3.030000,9211300
2020-10-29,3.060000,3.090000,2.880000,2.900000,2.900000,8573500
2020-10-30,2.960000,3.040000,2.670000,3.040000,3.040000,10424500
2020-11-02,3.040000,3.080000,2.860000,2.950000,2.950000,4991000
2020-11-03,3.000000,3.190000,2.910000,3.020000,3.020000,6924400
2020-11-04,3.100000,3.150000,2.870000,2.940000,2.940000,6485500
2020-11-05,2.990000,3.980000,2.930000,3.770000,3.770000,24640300
2020-11-06,3.750000,4.220000,3.610000,3.980000,3.980000,19759900
2020-11-09,4.420000,4.610000,3.980000,4.320000,4.320000,15528300
2020-11-10,4.462000,4.570000,3.750000,4.120000,4.120000,11142600
2020-11-11,4.120000,4.120000,3.850000,3.960000,3.960000,5999700
2020-11-12,3.480000,3.860000,3.370000,3.580000,3.580000,11200300
2020-11-13,3.640000,3.950000,3.600000,3.680000,3.680000,7289600
2020-11-16,3.830000,4.240000,3.791000,4.210000,4.210000,13750500
2020-11-17,4.060000,4.850000,4.010000,4.470000,4.470000,17585600
2020-11-18,4.590000,4.950000,4.550000,4.770000,4.770000,11877500
2020-11-19,5.008000,5.880000,4.960000,5.860000,5.860000,26155900
2020-11-20,4.320000,4.690000,4.200000,4.430000,4.430000,55418100
2020-11-23,4.820000,5.300000,4.800000,5.180000,5.180000,29031400
2020-11-24,5.425000,5.550000,4.630000,4.990000,4.990000,22808400
2020-11-25,4.950000,5.730000,4.900000,5.730000,5.730000,25120300
2020-11-27,6.300000,7.390000,6.260000,6.530000,6.530000,45821800
2020-11-30,6.200000,7.150000,5.900000,6.400000,6.400000,56374700
2020-12-01,6.620000,6.890000,6.070000,6.330000,6.330000,23813900
2020-12-02,6.000000,6.420000,5.760000,6.400000,6.400000,22191000
2020-12-03,6.843000,7.720000,6.790000,7.580000,7.580000,47084600
2020-12-04,7.520000,7.970000,7.060000,7.440000,7.440000,33338300
2020-12-07,6.585000,7.160000,6.550000,6.670000,6.670000,60254500
2020-12-08,7.330000,7.360000,6.850000,7.100000,7.100000,27919400
2020-12-09,7.090000,7.251000,6.350000,6.670000,6.670000,28557700
2020-12-10,6.500000,6.760000,6.390000,6.440000,6.440000,17754100
2020-12-11,6.410000,6.480000,6.030000,6.140000,6.140000,20135100
2020-12-14,6.507000,6.940000,6.270000,6.650000,6.650000,23829900
